id,link,house_name,address,price,area,length,width,price_per_square,bedroom,floor,toilet,house_type,furnishing_status,legal_status,priority_characteristics,living_size,direction,crawl_time
114263823,https://www.nhatot.com//mua-ban-nha-dat-quan-5-tp-ho-chi-minh/114263823.htm#px=SR-special_display_ad-[PO-2][PL-default],"Nhà đẹp HXH 6m Trần Hưng Đạo, P2, Q5, 3.1mx18m, 4tầng 4pn, nhỉnh 9tỷ",,"9,8 tỷ",55 m²,,,"178,18 triệu/m²",4 phòng,4,3 phòng,"Nhà ngõ, hẻm",Nội thất cao cấp,Đã có sổ,,,,2024-05-01 07:30:38
111076448,https://www.nhatot.com//mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/111076448.htm#px=SR-special_display_ad-[PO-5][PL-default],"💥 Rẻ quá ! Nhà TL 4x18 hẻm 6m Thống Nhất, giá cực tốt.",,"5,3 tỷ",72 m²,,4 m,"73,61 triệu/m²",2 phòng,2,2 phòng,"Nhà ngõ, hẻm",,,,,Đông,2024-05-01 07:30:38
105930765,https://www.nhatot.com//mua-ban-nha-dat-quan-12-tp-ho-chi-minh/105930765.htm#px=SR-special_display_ad-[PO-12][PL-default],"💥 GIẢM 1,4 TỶ - Nhà 1T4L 4x20 MT Hiệp Thành 02 gần chợ Đông Quang",,"5,69 tỷ",80 m²,,,"71,13 triệu/m²",5 phòng,5,6 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,Đã có sổ,,,,2024-05-01 07:30:39
115413349,https://www.nhatot.com//mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/115413349.htm#px=SR-special_display_ad-[PO-14][PL-default],nhà sổ hồng riêng 1 lầu đường số 14A lê văn quới,,"2,5 tỷ",24 m²,8 m,3 m,"104,17 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",,Đang chờ sổ,,,,2024-05-01 07:30:40
115505781,https://www.nhatot.com//mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/115505781.htm,"Nhà cấp 4 hẻm xe hơi, Quang Trung, P10, Gò Vấp",,"5,2 tỷ",60 m²,,,"86,67 triệu/m²",2 phòng,1,1 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,Đông Bắc,2024-05-01 07:31:12
114626766,https://www.nhatot.com//mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/114626766.htm#px=SR-special_display_ad-[PO-5][PL-default],Mua ngay kẻo lỡ !!! Nhà Phú Mỹ P22 Q.Bình Thạnh giá 2tỷ600tr DT 39.2m2,,"2,6 tỷ",39.2 m²,,3.5 m,"66,33 triệu/m²",3 phòng,2,3 phòng,"Nhà ngõ, hẻm",,Đã có sổ,,,,2024-05-01 07:31:14
114703256,https://www.nhatot.com//mua-ban-nha-dat-huyen-hoai-duc-ha-noi/114703256.htm,Nhà 4 tầng 4,,"2,75 tỷ",36 m²,,,"76,39 triệu/m²",4 phòng,4,3 phòng,"Nhà ngõ, hẻm",Nội thất cao cấp,Đã có sổ,,,,2024-05-01 07:31:46
115428660,https://www.nhatot.com//mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/115428660.htm,BÁN NHÀ TRƯƠNG ĐỊNH - NGAY NGUYỄN AN NINH,,"6,5 tỷ",50 m²,,,130 triệu/m²,4 phòng,5,4 phòng,"Nhà ngõ, hẻm",Nội thất cao cấp,Đã có sổ,,,,2024-05-01 07:31:47
115447334,https://www.nhatot.com//mua-ban-nha-dat-quan-6-tp-ho-chi-minh/115447334.htm,"Nhà hẻm 5m BỬU ĐÌNH, P5, Q6 (5m巷 - 吉屋出售).",,"4,28 tỷ",28 m²,,3.5 m,"152,86 triệu/m²",1 phòng,1,,"Nhà ngõ, hẻm",,Đã có sổ,,,Nam,2024-05-01 07:31:47
114725078,https://www.nhatot.com//mua-ban-nha-dat-huyen-hoai-duc-ha-noi/114725078.htm,Chính chủ bán nhà 4 tầng Ô tô vào nhà cách Nhổn 1Km,,"4,4 tỷ",42 m²,,,"104,76 triệu/m²",4 phòng,4,4 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,Đã có sổ,,,,2024-05-01 07:32:20
